Date,Hour,Minute,Line,Flow,Violation
2020-07-10,0,0,branch_2_3,-11.870634,0.0
2020-07-10,0,0,branch_1_2,20.104366,0.0
2020-07-10,0,0,branch_1_4,-4.019513,0.0
2020-07-10,0,0,branch_4_10,3.384853,0.0
2020-07-10,0,0,branch_1_10,-3.384853,0.0
2020-07-10,0,0,branch_3_4_0,-17.922817,0.0
2020-07-10,0,0,branch_3_4_1,-17.922817,0.0
2020-07-10,1,0,branch_2_3,-9.404772,0.0
2020-07-10,1,0,branch_1_2,20.882728,0.0
2020-07-10,1,0,branch_1_4,-4.396995,0.0
2020-07-10,1,0,branch_4_10,3.702733,0.0
2020-07-10,1,0,branch_1_10,-3.702733,0.0
2020-07-10,1,0,branch_3_4_0,-19.846136,0.0
2020-07-10,1,0,branch_3_4_1,-19.846136,0.0
2020-07-10,2,0,branch_2_3,-8.34657,0.0
2020-07-10,2,0,branch_1_2,20.45143,0.0
2020-07-10,2,0,branch_1_4,-3.112976,0.0
2020-07-10,2,0,branch_4_10,2.621454,0.0
2020-07-10,2,0,branch_1_10,-2.621454,0.0
2020-07-10,2,0,branch_3_4_0,-18.572285,0.0
2020-07-10,2,0,branch_3_4_1,-18.572285,0.0
2020-07-10,3,0,branch_2_3,-5.481391,0.0
2020-07-10,3,0,branch_1_2,22.713609,0.0
2020-07-10,3,0,branch_1_4,1.774812,0.0
2020-07-10,3,0,branch_4_10,-1.494579,0.0
2020-07-10,3,0,branch_1_10,1.494579,0.0
2020-07-10,3,0,branch_3_4_0,-16.838195,0.0
2020-07-10,3,0,branch_3_4_1,-16.838195,0.0
2020-07-10,4,0,branch_2_3,-4.814313,0.0
2020-07-10,4,0,branch_1_2,22.871687,0.0
2020-07-10,4,0,branch_1_4,2.761141,0.0
2020-07-10,4,0,branch_4_10,-2.325172,0.0
2020-07-10,4,0,branch_1_10,2.325172,0.0
2020-07-10,4,0,branch_3_4_0,-16.250156,0.0
2020-07-10,4,0,branch_3_4_1,-16.250156,0.0
2020-07-10,5,0,branch_2_3,-2.098597,0.0
2020-07-10,5,0,branch_1_2,25.521403,0.0
2020-07-10,5,0,branch_1_4,7.601953,0.0
