Generator,Date,Hour,Horizon [hr],Thermal Power Generated [MW],On/off [bin],Start Up [bin],Shut Down [bin],Production Cost [$],Start-up Cost [$],Total Cost [$],Mileage [MW],Scenario,Market
10_STEAM,2020-07-10,13,37,76.0,1,0,0,1669.71,0.0,1669.71,0.0,1,Day-ahead
10_STEAM,2020-07-10,13,38,76.0,1,0,0,1669.71,0.0,1669.71,0.0,1,Day-ahead
10_STEAM,2020-07-10,13,39,76.0,1,0,0,1669.71,0.0,1669.71,0.0,1,Day-ahead
10_STEAM,2020-07-10,13,40,76.0,1,0,0,1669.71,0.0,1669.71,0.0,1,Day-ahead
10_STEAM,2020-07-10,13,41,76.0,1,0,0,1669.71,0.0,1669.71,0.0,1,Day-ahead
10_STEAM,2020-07-10,13,42,76.0,1,0,0,1669.71,0.0,1669.71,0.0,1,Day-ahead
10_STEAM,2020-07-10,13,43,76.0,1,0,0,1669.71,0.0,1669.71,0.0,1,Day-ahead
10_STEAM,2020-07-10,13,44,76.0,1,0,0,1669.71,0.0,1669.71,0.0,1,Day-ahead
10_STEAM,2020-07-10,13,45,30.0,1,0,0,905.0,0.0,905.0,46.0,1,Day-ahead
10_STEAM,2020-07-10,13,46,30.0,1,0,0,905.0,0.0,905.0,0.0,1,Day-ahead
10_STEAM,2020-07-10,13,47,76.0,1,0,0,1669.71,0.0,1669.71,46.0,1,Day-ahead
10_STEAM,2020-07-10,13,0,30.0,1,0,0,905.0,0.0,905.0,0.0,2,Day-ahead
10_STEAM,2020-07-10,13,1,76.0,1,0,0,1669.71,0.0,1669.71,46.0,2,Day-ahead
10_STEAM,2020-07-10,13,2,76.0,1,0,0,1669.71,0.0,1669.71,0.0,2,Day-ahead
10_STEAM,2020-07-10,13,3,30.0,1,0,0,905.0,0.0,905.0,46.0,2,Day-ahead
10_STEAM,2020-07-10,13,4,76.0,1,0,0,1669.71,0.0,1669.71,46.0,2,Day-ahead
10_STEAM,2020-07-10,13,5,76.0,1,0,0,1669.71,0.0,1669.71,0.0,2,Day-ahead
10_STEAM,2020-07-10,13,6,76.0,1,0,0,1669.71,0.0,1669.71,0.0,2,Day-ahead
10_STEAM,2020-07-10,13,7,30.0,1,0,0,905.0,0.0,905.0,46.0,2,Day-ahead
10_STEAM,2020-07-10,13,8,76.0,1,0,0,1669.71,0.0,1669.71,46.0,2,Day-ahead
